Station_ID,Name,Address,Latitude,Longitude,Regular_Price,Plus_Price,Premium_Price,Scrape_Date
ram-super-stop,Ram Super Stop,"El Paso, TX (Downtown_Central)",31.7670533,-106.4797085,,,,6/2/2026
ram,Ram,"El Paso, TX (Downtown_Central)",31.7592188,-106.4920828,,,,6/2/2026
gazpro-anapra,Gazpro Anapra,"El Paso, TX (Downtown_Central)",31.7521378,-106.5157245,,,,6/2/2026
totalgas--lerdo,TotalGas- Lerdo,"El Paso, TX (Downtown_Central)",31.7428197,-106.4991963,,,,6/2/2026
c-&-r-distributing-llc,C & R Distributing LLC,"El Paso, TX (Socorro_Horizon_Border)",31.7792925,-106.4291065,,,,6/2/2026
pemex-gasolinera-5-de-mayo,Pemex Gasolinera 5 de mayo,"El Paso, TX (Downtown_Central)",31.7441551,-106.4913405,,,,6/2/2026
valero-corner-store,Valero Corner Store,"El Paso, TX (Northeast_Dyer)",31.7883855,-106.4672847,4.0,,,6/2/2026
dk,Dk,"El Paso, TX (Socorro_Horizon_Border)",31.6619098,-106.314599,,,,6/2/2026
711,711,"El Paso, TX (Far_East_Montana)",31.7810247,-106.4439032,,,,6/2/2026
gasolinera-pemex,Gasolinera Pemex,"El Paso, TX (Downtown_Central)",31.7810247,-106.4439032,,,,6/2/2026
mesa-hills-valero,Mesa Hills Valero,"El Paso, TX (West_Side_Mesa)",31.818696,-106.5335138,4.16,,,6/2/2026
cassidy-express,Cassidy Express,"El Paso, TX (Socorro_Horizon_Border)",31.8132896,-106.4496756,,,,6/2/2026
mesa-hills-shamrock,MESA HILLS SHAMROCK,"El Paso, TX (West_Side_Mesa)",31.818253,-106.5337944,,,,6/2/2026
sam's-club-gas-station,Sam's Club Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7767451,-106.4045261,,,,6/2/2026
aafes-px-gas-station,AAFES PX Gas Station,"El Paso, TX (Northeast_Dyer)",31.8002216,-106.4395241,,,,6/2/2026
walmart-fuel-&-convenience,Walmart Fuel & Convenience,"El Paso, TX (Upper_Valley)",31.8840023,-106.5967574,,,,6/2/2026
giant,Giant,"El Paso, TX (Upper_Valley)",31.8789953,-106.5866748,,,,6/2/2026
murphy-usa,Murphy USA,"El Paso, TX (Socorro_Horizon_Border)",31.6619098,-106.314599,3.73,,,6/2/2026
fast-market-8168,Fast Market 8168,"El Paso, TX (Upper_Valley)",31.8612739,-106.567382,,,,6/2/2026
station-54,STATION 54,"El Paso, TX (Northeast_Dyer)",31.8488722,-106.457339,,,,6/2/2026
logan-heights-express,Logan Heights Express,"El Paso, TX (Northeast_Dyer)",31.839986,-106.4616804,,,,6/2/2026
aafes,AAFES,"El Paso, TX (Northeast_Dyer)",31.8367682,-106.3835532,,,,6/2/2026
good-time-stores,Good Time Stores,"El Paso, TX (Northeast_Dyer)",31.853124,-106.456742,,,,6/2/2026
bliss-biggs-east-express,Bliss Biggs East Express,"El Paso, TX (Northeast_Dyer)",31.8277145,-106.4061606,,,,6/2/2026
freeway-chevron,FREEWAY CHEVRON,"El Paso, TX (Socorro_Horizon_Border)",31.7640375,-106.3829644,4.4,,,6/2/2026
western-fuel,Western fuel,"El Paso, TX (East_Side_Cielo_Vista)",31.7766157,-106.4088902,,,,6/2/2026
phillips-66,Phillips 66,"El Paso, TX (Socorro_Horizon_Border)",31.7398113,-106.3651365,3.96,,,6/2/2026
shell,Shell,"El Paso, TX (East_Side_Cielo_Vista)",31.765342,-106.3573634,4.4,,,6/2/2026
dk-convenient-store/gas-station,DK Convenient Store/Gas Station,"El Paso, TX (Zaragosa_Lower_Valley)",31.7356976,-106.3303057,,,,6/2/2026
"valero-""fast-mart""","Valero ""Fast Mart""","El Paso, TX (Zaragosa_Lower_Valley)",31.7378595,-106.3095234,,,,6/2/2026
chevron-el-paso-far-east-montana,Chevron El Paso Far East Montana,"El Paso, TX (Far_East_Montana)",31.8081137,-106.2776987,4.2,,,6/2/2026
water-refill-station,Water Refill Station,"El Paso, TX (Far_East_Montana)",31.803409,-106.3029603,,,,6/2/2026
